id,name,age,income,purchase_date,product_category,purchase_amount,rating
1,Bob White,43,116298.0,2023-01-01 00:00:00,Home & Kitchen,215.23,4.0
2,Charlie Gray,39,59530.0,2023-01-01 01:00:00,Home & Kitchen,470.14,
3,Alice Brown,32,109612.0,2023-01-01 02:00:00,Electronics,90.06,5.0
4,Charlie Gray,26,116712.0,2023-01-01 03:00:00,Books,64.58,
5,Charlie Gray,43,20601.0,2023-01-01 04:00:00,Clothing,92.43,4.0
6,Jane Smith,34,108179.0,2023-01-01 05:00:00,Electronics,305.05,3.0
7,Alice Brown,26,97929.0,2023-01-01 06:00:00,Clothing,395.42,2.0
8,Alice Brown,20,106700.0,2023-01-01 07:00:00,Books,373.89,3.0
9,Alice Brown,33,76664.0,2023-01-01 08:00:00,Home & Kitchen,455.71,
10,Charlie Gray,30,45988.0,2023-01-01 09:00:00,Clothing,367.54,3.0
11,Bob White,43,88118.0,2023-01-01 10:00:00,Clothing,499.9,3.0
12,Alice Brown,34,96578.0,2023-01-01 11:00:00,Electronics,276.99,3.0
13,Charlie Gray,49,112400.0,2023-01-01 12:00:00,Books,497.45,4.0
14,Jane Smith,41,85631.0,2023-01-01 13:00:00,Sports,271.06,4.0
15,Bob White,53,73372.0,2023-01-01 14:00:00,Clothing,44.95,3.0
16,Jane Smith,39,28425.0,2023-01-01 15:00:00,Electronics,403.2,
17,Bob White,26,98512.0,2023-01-01 16:00:00,Home & Kitchen,443.61,3.0
18,Charlie Gray,39,90213.0,2023-01-01 17:00:00,Books,226.86,2.0
19,John Doe,58,83479.0,2023-01-01 18:00:00,Home & Kitchen,78.68,4.0
20,Bob White,63,66285.0,2023-01-01 19:00:00,Home & Kitchen,468.73,2.0
21,Jane Smith,37,83720.0,2023-01-01 20:00:00,Sports,451.12,5.0
22,Charlie Gray,20,114327.0,2023-01-01 21:00:00,Clothing,135.13,2.0
23,Bob White,53,101700.0,2023-01-01 22:00:00,Sports,89.25,
24,John Doe,50,43158.0,2023-01-01 23:00:00,Electronics,51.38,4.0
25,John Doe,35,77365.0,2023-01-02 00:00:00,Sports,114.66,4.0
